,State,Pending Cases,year
1,California,34221,1998
2,New York,23914,1998
3,Florida,20019,1998
4,Texas,9226,1998
5,New Jersey,3582,1998
6,Michigan,2725,1998
7,Illinois,2510,1998
8,Virginia,2060,1998
9,Arizona,1971,1998
10,Massachusetts,1850,1998
11,Pennsylvania,1672,1998
12,Maryland,1438,1998
13,Nevada,1396,1998
14,Georgia,1187,1998
15,Colorado,1001,1998
16,Minnesota,794,1998
17,Washington,710,1998
18,Connecticut,699,1998
19,Tennessee,539,1998
20,Missouri,431,1998
21,Oregon,428,1998
22,Puerto Rico,408,1998
23,Nebraska,405,1998
24,Louisiana,271,1998
25,Guam,117,1998
26,Hawaii,104,1998
27,Ohio,24,1998
28,Montana,*,1998
29,New Hampshire,*,1998
30,North Dakota,*,1998
31,Oklahoma,*,1998
32,Rhode Island,*,1998
33,Alabama,*,1998
34,South Carolina,*,1998
35,Alaska,*,1998
36,South Dakota,*,1998
37,Arkansas,*,1998
38,US Virgin Islands,*,1998
39,Delaware,*,1998
40,Vermont,*,1998
41,District of Columbia,*,1998
42,West Virginia,*,1998
43,Idaho,*,1998
44,Wisconsin,*,1998
45,Indiana,*,1998
46,Wyoming,*,1998
47,Iowa,*,1998
48,Kansas,*,1998
49,Maine,*,1998
50,Mississippi,*,1998
